numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
33862,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Colonne à verre","17 Boulevard des Filles du Calvaire, 75003 PARIS",75003,Paris 03,3,re - TEMPLE - ENFANTS ROUGES,2024-07-10,2024,7,Android,DERICHEBOURG,G2024G033862,"{'type': 'Feature', 'geometry': {'coordinates': [2.3665804861748176, 48.86272430318344], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3665804861748176, 'lat': 48.86272430318344}",2024-07
10372,"Autos, motos, vélos, trottinettes...",[] Deux-roues motorisé en stationnement gênant U2,"18 Rue Borromée, 75015 PARIS",75015,Paris 15,15,CAMBRONNE - GARIBALDI,2024-07-03,2024,7,IOPage DMR Paris.fr application,DPMP-Divisions,A2024G010372,"{'type': 'Feature', 'geometry': {'coordinates': [2.305146693555757, 48.84114456078926], 'type': 'Point'}, 'properties': {}}","{'lon': 2.305146693555757, 'lat': 48.84114456078926}",2024-07
6589,Voirie et espace public,Panneaux routiers : Panneau endommagé,"107 boulevard Raspail, 75006 PARIS",75006,Paris 06,6,RENNES,2024-07-02,2024,7,Android,DVD,G2024G006589,"{'type': 'Feature', 'geometry': {'coordinates': [2.328725575914554, 48.84581756538876], 'type': 'Point'}, 'properties': {}}","{'lon': 2.328725575914554, 'lat': 48.84581756538876}",2024-07
8396,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","22 Avenue de Verdun, 75010 PARIS",75010,Paris 10,10,GRANGE AUX BELLES - TERRAGE,2023-09-04,2023,9,Android,graffitis,G2023I008396,"{'type': 'Feature', 'geometry': {'coordinates': [2.362927675625011, 48.87663650397952], 'type': 'Point'}, 'properties': {}}","{'lon': 2.362927675625011, 'lat': 48.87663650397952}",2023-09
12151,Mobiliers urbains,Autres : Mobilier d'accroche 2 roues détérioré,"5 Rue Mollien, 75008 PARIS",75008,Paris 08,8,MONCEAU,2024-04-05,2024,4,Android,SMEP,G2024D012151,"{'type': 'Feature', 'geometry': {'coordinates': [2.313201903887817, 48.87745666383688], 'type': 'Point'}, 'properties': {}}","{'lon': 2.313201903887817, 'lat': 48.87745666383688}",2024-04
21626,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","195 Quai de Valmy, 75010 PARIS",75010,Paris 10,10,LOUIS BLANC - AQUEDUC,2023-11-09,2023,11,Android,graffitis,G2023K021626,"{'type': 'Feature', 'geometry': {'coordinates': [2.368204355915994, 48.88143157859832], 'type': 'Point'}, 'properties': {}}","{'lon': 2.368204355915994, 'lat': 48.88143157859832}",2023-11
31336,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","16 Rue Vicq d'Azir, 75010 PARIS",75010,Paris 10,10,FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,2024-06-11,2024,6,Android,graffitis,G2024F031336,"{'type': 'Feature', 'geometry': {'coordinates': [2.3704233171637203, 48.87604141179431], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3704233171637203, 'lat': 48.87604141179431}",2024-06
6805,Propreté,Épanchement d'urine,"1 Place Saint-Pierre, 75018 PARIS",75018,Paris 18,18,MONTMARTRE,2024-07-02,2024,7,Android,DPE-STPP-DT,G2024G006805,"{'type': 'Feature', 'geometry': {'coordinates': [2.3447954650982146, 48.88449859531526], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3447954650982146, 'lat': 48.88449859531526}",2024-07
52190,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","71 Boulevard Raspail, 75006 PARIS",75006,Paris 06,6,RENNES,2024-06-17,2024,6,Android,graffitis,G2024F052190,"{'type': 'Feature', 'geometry': {'coordinates': [2.327771187326438, 48.84920883071015], 'type': 'Point'}, 'properties': {}}","{'lon': 2.327771187326438, 'lat': 48.84920883071015}",2024-06
35341,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","142 avenue de Flandre, 75019 PARIS",75019,Paris 19,19,PONT DE FLANDRE,2024-06-12,2024,6,Android,graffitis,G2024F035341,"{'type': 'Feature', 'geometry': {'coordinates': [2.380918741685006, 48.89344787548732], 'type': 'Point'}, 'properties': {}}","{'lon': 2.380918741685006, 'lat': 48.89344787548732}",2024-06
