numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
88325,Objets abandonnés,[] Sacs de déchets ménagers appartenant à des personnes à la rue,"5 Place Pigalle, 75009 PARIS",75009,Paris 09,9,PIGALLE - MARTYRS,2024-05-31,2024,5,IOPage DMR Paris.fr application,DPE-STPP-DT,A2024E088325,"{'type': 'Feature', 'geometry': {'coordinates': [2.3375992770950598, 48.88188171311925], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3375992770950598, 'lat': 48.88188171311925}",2024-05
64849,Eau,Accumulation d'eau : Grosse flaque d'eau dans le caniveau,"7 rue Jean Robert, 75018 PARIS",75018,Paris 18,18,LA CHAPELLE - MARX DORMOY,2023-07-26,2023,7,Page DMR Paris.fr,DPE-STPP-DT,S2023G064849,"{'type': 'Feature', 'geometry': {'coordinates': [2.358158587836459, 48.8893547045097], 'type': 'Point'}, 'properties': {}}","{'lon': 2.358158587836459, 'lat': 48.8893547045097}",2023-07
71502,"Arbres, végétaux et animaux",Arbuste ou jardinière en mauvais état,"1 Rue Ferdinand Flocon, 75018 PARIS",75018,Paris 18,18,CLIGNANCOURT - JULES JOFFRIN,2023-07-29,2023,7,IOPage DMR Paris.fr application,DEVE,A2023G071502,"{'type': 'Feature', 'geometry': {'coordinates': [2.345575332945704, 48.89102554187497], 'type': 'Point'}, 'properties': {}}","{'lon': 2.345575332945704, 'lat': 48.89102554187497}",2023-07
64667,"Graffitis, tags, affiches et autocollants",[] Affiches A4 ou A3 à traiter par la DT,"3 rue du Chevalier de la Barre, 75018 PARIS",75018,Paris 18,18,MONTMARTRE,2023-07-26,2023,7,Page DMR Paris.fr,DPE-STPP-DT,S2023G064667,"{'type': 'Feature', 'geometry': {'coordinates': [2.3469185833809685, 48.88739776562632], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3469185833809685, 'lat': 48.88739776562632}",2023-07
70014,Propreté,Déchets et/ou salissures divers,"26 Rue de Gergovie, 75014 PARIS",75014,Paris 14,14,PERNETY,2023-07-28,2023,7,Android,DPE-STPP-DT,G2023G070014,"{'type': 'Feature', 'geometry': {'coordinates': [2.3146312241646423, 48.83381652776524], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3146312241646423, 'lat': 48.83381652776524}",2023-07
71661,Objets abandonnés,Autres objets encombrants abandonnés,"44 Rue Sibuet, 75012 PARIS",75012,Paris 12,12,BEL - AIR NORD,2023-07-29,2023,7,Android,Ramen,G2023G071661,"{'type': 'Feature', 'geometry': {'coordinates': [2.4025034904437863, 48.84438705384725], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4025034904437863, 'lat': 48.84438705384725}",2023-07
64583,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","22bis Rue Norvins, 75018 PARIS",75018,Paris 18,18,MONTMARTRE,2024-02-22,2024,2,Android,graffitis,G2024B064583,"{'type': 'Feature', 'geometry': {'coordinates': [2.339261532124922, 48.887111662872925], 'type': 'Point'}, 'properties': {}}","{'lon': 2.339261532124922, 'lat': 48.887111662872925}",2024-02
68756,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","3 Avenue de Flandre, 75019 PARIS",75019,Paris 19,19,FLANDRE - AUBERVILLIERS,2023-07-28,2023,7,Android,graffitis,G2023G068756,"{'type': 'Feature', 'geometry': {'coordinates': [2.3688819406493584, 48.88432693430839], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3688819406493584, 'lat': 48.88432693430839}",2023-07
63178,Objets abandonnés,Autres objets encombrants abandonnés,"108 Boulevard de la Chapelle, 75018 PARIS",75018,Paris 18,18,GOUTTE D'OR - CHATEAU ROUGE,2023-07-25,2023,7,IOPage DMR Paris.fr application,Ramen,A2023G063178,"{'type': 'Feature', 'geometry': {'coordinates': [2.351127862917436, 48.883968352259295], 'type': 'Point'}, 'properties': {}}","{'lon': 2.351127862917436, 'lat': 48.883968352259295}",2023-07
68263,"Autos, motos, vélos, trottinettes...",Deux-roues motorisé en stationnement gênant,"34 Rue de Charonne, 75011 PARIS",75011,Paris 11,11,BASTILLE - POPINCOURT,2023-07-27,2023,7,IOPage DMR Paris.fr application,DPMP-SCOP,A2023G068263,"{'type': 'Feature', 'geometry': {'coordinates': [2.376138209855178, 48.85322189267333], 'type': 'Point'}, 'properties': {}}","{'lon': 2.376138209855178, 'lat': 48.85322189267333}",2023-07
